entry_date,exit_date,entry_price,exit_price,return_pct,holding_days,note
2024-01-03,2024-01-23,10.25,11.2,0.09268292682926822,20,固定20天
2024-01-24,2024-02-13,11.35,12.5,0.10132158590308374,20,固定20天
2024-02-14,2024-02-29,12.65,14.2,0.12252964426877462,15,到样本末尾强平(固定20天)
